---,Name
991,"NSLOCTEXT("""", ""ItemTable_991_Name"", ""Smelted Iron Siege Boulder"")"
992,"NSLOCTEXT("""", ""ItemTable_992_Name"", ""Salvaged Star Metal Shell"")"
993,"NSLOCTEXT("""", ""ItemTable_993_Name"", ""Burning Siege Boulder"")"
1529,"NSLOCTEXT("""", ""ItemTable_1529_Name"", ""XX_Rhino Embedded Saddle"")"
1590,"NSLOCTEXT("""", ""ItemTable_1590_Name"", ""Shaggai Figurine"")"
1591,"NSLOCTEXT("""", ""ItemTable_1591_Name"", ""Husk Figurine"")"
1592,"NSLOCTEXT("""", ""ItemTable_1592_Name"", ""Ghoul Figurine"")"
1593,"NSLOCTEXT("""", ""ItemTable_1593_Name"", ""Tcho Tcho Figurine"")"
1594,"NSLOCTEXT("""", ""ItemTable_1594_Name"", ""Thunnha Figurine"")"
1595,"NSLOCTEXT("""", ""ItemTable_1595_Name"", ""Lloigor Figurine"")"
1596,"NSLOCTEXT("""", ""ItemTable_1596_Name"", ""Undead First Men Figurine"")"
1597,"NSLOCTEXT("""", ""ItemTable_1597_Name"", ""Yakith Figurine"")"
1598,"NSLOCTEXT("""", ""ItemTable_1598_Name"", ""Avatar of Bokrug Figurine"")"
1599,"NSLOCTEXT("""", ""ItemTable_1599_Name"", ""Blood Defiler Figurine"")"
1600,"NSLOCTEXT("""", ""ItemTable_1600_Name"", ""Blood-moon Beast Figurine"")"
1601,"NSLOCTEXT("""", ""ItemTable_1601_Name"", ""Giant King Figurine"")"
1602,"NSLOCTEXT("""", ""ItemTable_1602_Name"", ""Krllyandian Figurine"")"
1603,"NSLOCTEXT("""", ""ItemTable_1603_Name"", ""Migo Figurine"")"
1604,"NSLOCTEXT("""", ""ItemTable_1604_Name"", ""Shaggai Huntress Figurine"")"
1605,"NSLOCTEXT("""", ""ItemTable_1605_Name"", ""Silent Legion Figurine"")"
1606,"NSLOCTEXT("""", ""ItemTable_1606_Name"", ""Spider of Leng Figurine"")"
1607,"NSLOCTEXT("""", ""ItemTable_1607_Name"", ""Helm of the Mad Prophet"")"
1608,"NSLOCTEXT("""", ""ItemTable_1608_Name"", ""Harness of the Mad Prophet"")"
1609,"NSLOCTEXT("""", ""ItemTable_1609_Name"", ""Bracer of the Mad Prophet"")"
1610,"NSLOCTEXT("""", ""ItemTable_1610_Name"", ""Tasset of the Mad Prophet"")"
1611,"NSLOCTEXT("""", ""ItemTable_1611_Name"", ""Sandals of the Mad Prophet"")"
1612,"NSLOCTEXT("""", ""ItemTable_1612_Name"", ""Helm of the Mad Prophet"")"
1613,"NSLOCTEXT("""", ""ItemTable_1613_Name"", ""Harness of the Mad Prophet"")"
1614,"NSLOCTEXT("""", ""ItemTable_1614_Name"", ""Bracer of the Mad Prophet"")"
1615,"NSLOCTEXT("""", ""ItemTable_1615_Name"", ""Tasset of the Mad Prophet"")"
1616,"NSLOCTEXT("""", ""ItemTable_1616_Name"", ""Sandals of the Mad Prophet"")"
2706,"NSLOCTEXT("""", ""ItemTable_2706_Name"", ""Aquilonian Scout Saddle"")"
2707,"NSLOCTEXT("""", ""ItemTable_2707_Name"", ""Savage Cavalry Saddle"")"
2708,"NSLOCTEXT("""", ""ItemTable_2708_Name"", ""Warhorse Saddle Light"")"
2709,"NSLOCTEXT("""", ""ItemTable_2709_Name"", ""Warhorse Saddle Medium"")"
2710,"NSLOCTEXT("""", ""ItemTable_2710_Name"", ""Warhorse Saddle Heavy"")"
2712,"NSLOCTEXT("""", ""ItemTable_2712_Name"", ""Kordavan Tack and Saddle"")"
2715,"NSLOCTEXT("""", ""ItemTable_2715_Name"", ""Camel"")"
2716,"NSLOCTEXT("""", ""ItemTable_2716_Name"", ""Camel Saddle Light"")"
2717,"NSLOCTEXT("""", ""ItemTable_2717_Name"", ""Camel Saddle Medium"")"
2718,"NSLOCTEXT("""", ""ItemTable_2718_Name"", ""Camel Saddle Heavy"")"
2782,"NSLOCTEXT("""", ""ItemTable_2782_Name"", ""Lance"")"
2783,"NSLOCTEXT("""", ""ItemTable_2783_Name"", ""Reinforced Lance"")"
2785,"NSLOCTEXT("""", ""ItemTable_2785_Name"", ""Strong Lance"")"
4150,"NSLOCTEXT("""", ""ItemTable_4150_Name"", ""Sign (Alchemist)"")"
4151,"NSLOCTEXT("""", ""ItemTable_4151_Name"", ""Sign (Blacksmith)"")"
4152,"NSLOCTEXT("""", ""ItemTable_4152_Name"", ""Sign (Armorsmith)"")"
4153,"NSLOCTEXT("""", ""ItemTable_4153_Name"", ""Sign (Smeltery)"")"
4154,"NSLOCTEXT("""", ""ItemTable_4154_Name"", ""Sign (Tannery)"")"
4155,"NSLOCTEXT("""", ""ItemTable_4155_Name"", ""Sign (Prison)"")"
4156,"NSLOCTEXT("""", ""ItemTable_4156_Name"", ""Sign (Farm)"")"
4157,"NSLOCTEXT("""", ""ItemTable_4157_Name"", ""Sign (Cook)"")"
4158,"NSLOCTEXT("""", ""ItemTable_4158_Name"", ""Sign (Tavern)"")"
4159,"NSLOCTEXT("""", ""ItemTable_4159_Name"", ""Standing Sign (Alchemist)"")"
4160,"NSLOCTEXT("""", ""ItemTable_4160_Name"", ""Standing Sign (Blacksmith)"")"
4161,"NSLOCTEXT("""", ""ItemTable_4161_Name"", ""Standing Sign (Armorsmith)"")"
4162,"NSLOCTEXT("""", ""ItemTable_4162_Name"", ""Standing Sign (Smeltery)"")"
4163,"NSLOCTEXT("""", ""ItemTable_4163_Name"", ""Standing Sign (Tannery)"")"
4164,"NSLOCTEXT("""", ""ItemTable_4164_Name"", ""Standing Sign (Prison)"")"
4165,"NSLOCTEXT("""", ""ItemTable_4165_Name"", ""Standing Sign (Farm)"")"
4166,"NSLOCTEXT("""", ""ItemTable_4166_Name"", ""Standing Sign (Cook)"")"
4167,"NSLOCTEXT("""", ""ItemTable_4167_Name"", ""Standing Sign (Tavern)"")"
4168,"NSLOCTEXT("""", ""ItemTable_4168_Name"", ""Standing Waymarker, Left"")"
4169,"NSLOCTEXT("""", ""ItemTable_4169_Name"", ""Standing Waymarker, Right"")"
4176,"NSLOCTEXT("""", ""ItemTable_4176_Name"", ""Petrified Egg"")"
4177,"NSLOCTEXT("""", ""ItemTable_4177_Name"", ""Throne of Skelos"")"
4180,"NSLOCTEXT("""", ""ItemTable_4180_Name"", ""Waymarker, Left"")"
4181,"NSLOCTEXT("""", ""ItemTable_4181_Name"", ""Waymarker, Right"")"
4189,"NSLOCTEXT("""", ""ItemTable_4189_Name"", ""The Glasser"")"
4190,"NSLOCTEXT("""", ""ItemTable_4190_Name"", ""Reinforced Stool"")"
4192,"NSLOCTEXT("""", ""ItemTable_4192_Name"", ""Battle Spatula"")"
4193,"NSLOCTEXT("""", ""ItemTable_4193_Name"", ""Dead Leg"")"
4194,"NSLOCTEXT("""", ""ItemTable_4194_Name"", ""Table Leg"")"
4195,"NSLOCTEXT("""", ""ItemTable_4195_Name"", ""Practice Sword"")"
4196,"NSLOCTEXT("""", ""ItemTable_4196_Name"", ""Gravedigger"")"
4197,"NSLOCTEXT("""", ""ItemTable_4197_Name"", ""Practice Great Sword"")"
4220,"NSLOCTEXT("""", ""ItemTable_4220_Name"", ""Four-Sided Die"")"
4221,"NSLOCTEXT("""", ""ItemTable_4221_Name"", ""Six-Sided Die"")"
4222,"NSLOCTEXT("""", ""ItemTable_4222_Name"", ""Eight-Sided Die"")"
4223,"NSLOCTEXT("""", ""ItemTable_4223_Name"", ""Ten-Sided Die"")"
4224,"NSLOCTEXT("""", ""ItemTable_4224_Name"", ""Twelve-Sided Die"")"
4225,"NSLOCTEXT("""", ""ItemTable_4225_Name"", ""Twenty-Sided Die"")"
4230,"NSLOCTEXT("""", ""ItemTable_4230_Name"", ""Painting"")"
4231,"NSLOCTEXT("""", ""ItemTable_4231_Name"", ""Painting"")"
4232,"NSLOCTEXT("""", ""ItemTable_4232_Name"", ""Painting"")"
4233,"NSLOCTEXT("""", ""ItemTable_4233_Name"", ""Painting"")"
4234,"NSLOCTEXT("""", ""ItemTable_4234_Name"", ""Painting"")"
4235,"NSLOCTEXT("""", ""ItemTable_4235_Name"", ""Painting"")"
4236,"NSLOCTEXT("""", ""ItemTable_4236_Name"", ""Painting"")"
4237,"NSLOCTEXT("""", ""ItemTable_4237_Name"", ""Painting"")"
4238,"NSLOCTEXT("""", ""ItemTable_4238_Name"", ""Painting"")"
4239,"NSLOCTEXT("""", ""ItemTable_4239_Name"", ""Painting"")"
